%Time (s),Wheel Position (deg),Slide position (mm),Wheel Speed (deg/s),Slide Speed (mm/s)
0,5284.7,136.33,574.917,1293.881
0.02,5296.14,160.648,591.417,1132.706
0.04,5308.36,181.165,596.333,896.428
0.06,5320.2,195.981,644.5,571.416
0.08,5334.06,203.848,672.583,220.18
0.1,5347.06,204.97,683.167,-99.185
0.12,5361.82,200.234,795.583,-362.011
0.14,5378.32,190.871,788.25,-566.613
0.16,5393.2,177.941,757.417,-709.093
0.18,5408.92,162.611,793.583,-841.837
0.2,5424.84,144.337,804.167,-967.96
0.22,5440.98,124.085,795.417,-1058.512
0.24,5456.68,102.041,787.25,-1149.842
0.26,5472.74,78.283,830.167,-1213.585
0.28,5489.98,53.887,887.917,-1226.178
0.3,5508.14,30.114,916,-1107.196
0.32,5526.78,10.967,980.25,-771.149
0.34,5547.3,0.654,1044.667,-211.027
0.36,5568,3.287,1007.833,481.708
0.38,5587.18,19.318,901.75,1074.74
0.4,5603.94,44.664,778.833,1395.987
0.42,5618.4,73.734,664.75,1495.951
0.44,5630.84,103.583,604.417,1463.365
0.46,5642.84,131.641,588.583,1335.879
0.48,5654.4,156.707,562.5,1171.718
0.5,5665.62,178.112,586.667,949.72
0.52,5678.08,194.143,647.333,634.575
0.54,5691.48,203.194,697.083,269.058
0.56,5705.92,205.063,744.333,-65.755
0.58,5721.04,200.904,748.5,-345.719
0.6,5735.92,191.603,768.083,-570.442
0.62,5751.84,178.486,804.833,-728.502
0.64,5767.98,162.627,815.833,-866.439
0.66,5784.36,143.932,801.333,-989.836
0.68,5800.28,123.119,841.167,-1101.289
0.7,5817.92,99.984,859.417,-1200.668
0.72,5834.58,75.354,852.75,-1262.853
0.74,5852.5,49.977,944.5,-1256.752
0.76,5872.26,26.141,1012.333,-1088.696
0.78,5892.68,7.898,1019.333,-688.906
0.8,5913.06,0.016,1049.5,-52.968
0.82,5934.26,6.309,1012.417,677.741
0.84,5953.02,26.141,878,1242.601
0.86,5969.38,54.245,750.333,1515.035
0.88,5983.3,85.278,669.5,1561.706
0.9,5996.42,115.797,631.417,1474.14
0.92,6008.66,143.745,602,1320.365
0.94,6020.72,168.188,614.417,1107.26
0.96,6033.22,187.522,613.917,813.276
0.98,6045.44,200.265,639.5,441.398
1,6059.08,205.172,721,72.182
1.02,6074.12,203.459,767.75,-246.015
1.04,6089.62,195.747,785.25,-499.948
1.06,6105.5,183.907,804.667,-681.116
1.08,6121.66,168.749,789.667,-827.297
1.1,6137.32,150.943,824.667,-957.25
1.12,6154.66,130.581,861.833,-1068.119
1.14,6171.58,108.304,852.167,-1169.316
1.16,6188.9,83.985,877.167,-1247.404
1.18,6206.72,58.81,908.75,-1269.799
1.2,6225.26,34.008,932.583,-1173.925
1.22,6244.36,13.242,1032.583,-859.558
1.24,6266.2,1.184,1065.75,-290.414
1.26,6286.42,2.508,997.5,431.207
1.28,6305.96,17.838,922,1052.151
1.3,6323.04,42.982,794.083,1402.153
1.32,6337.88,72.457,701,1524.771
1.34,6351.2,102.944,621.333,1495.107
1.36,6363,131.594,585.083,1366.712
1.38,6374.88,157.252,595.083,1193.787
1.4,6386.9,178.906,614.083,956.276
1.42,6399.58,194.937,656.667,622.761
1.44,6413.22,203.568,710.667,248.936
1.46,6427.84,205.079,729.583,-90.941
1.48,6442.42,200.296,757.25,-373.89
1.5,6458.08,190.591,775.083,-578.816
1.52,6473.4,177.395,787,-752.584
1.54,6489.66,160.788,825.417,-871.177
1.56,6506.18,142.499,810.833,-1009.374
1.58,6522.22,120.502,823.583,-1137.055
1.6,6539.28,97.352,866.333,-1203.005
1.62,6556.8,72.504,887.667,-1266.553
1.64,6574.9,47.235,930.5,-1252.208
1.66,6594.14,23.54,999.833,-1065.847
1.68,6614.68,6.169,1026.167,-629.771
1.7,6635.08,-0.218,1046.583,46.931
1.72,6656.14,8.319,1001.417,773.485
1.74,6674.64,29.475,864.083,1283.95
1.76,6690.82,58.078,760.333,1541.259
1.78,6705.14,89.703,664.417,1581.764
1.8,6717.66,120.237,611.75,1442.658
1.82,6729.9,147.126,609.583,1281.743
1.84,6742.08,171.226,601.333,1090.254
1.86,6754.2,189.999,637,769.266
1.88,6767.74,201.558,705.417,378.239
1.9,6782.3,205.157,751.167,-10.451
1.92,6797.58,201.714,754.333,-294.504
1.94,6812.64,193.753,796.833,-524.42
1.96,6829.42,181.01,834.833,-717.272
1.98,6845.78,165.384,820.333,-856.442
2,6862.34,146.908,839.25,-972.374
2.02,6879.12,126.484,802.75,-1095.706
2.04,6894.72,103.178,818.917,-1208.458
2.06,6912.16,78.517,888.75,-1257.985
2.08,6930.12,53.201,918,-1273.434
2.1,6949.02,28.587,978.417,-1134.848
2.12,6969.28,9.363,1048.917,-748.3
2.14,6990.62,0.171,1056.5,-111.648
2.16,7011.18,5.468,1008.75,624.059
2.18,7030.66,24.225,911.833,1205.407
2.2,7047.5,52.017,787.167,1514.515
2.22,7062.34,83.268,702.583,1582.867
2.24,7075.7,114.333,624.917,1503.415
2.26,7087.64,142.857,597.833,1350.484
2.28,7099.92,167.908,622.083,1137.444
2.3,7112.62,187.755,655.75,827.622
2.32,7126.24,200.53,702.833,434.842
2.34,7140.82,205.203,772.833,56.798
2.36,7156.84,203.131,779.667,-267.89
2.38,7171.94,194.937,776.25,-523.252
2.4,7188.08,182.692,816,-696.825
2.42,7204.44,167.269,829.083,-844.304
2.44,7221,149.026,790.75,-981.722
2.46,7236.32,128.244,801.583,-1070.78
2.48,7253.34,106.107,866.5,-1188.465
2.5,7270.78,80.901,886.083,-1280.314
2.52,7288.72,55.507,891,-1275.706
2.54,7306.7,30.721,949.75,-1153.932
2.56,7326.86,10.843,1040.333,-791.206
2.58,7347.96,0.53,1071.333,-192.398
2.6,7369.12,3.864,999.667,532.729
2.62,7387.66,21.062,883.583,1126.085
2.64,7404.54,47.25,789.083,1437.465
2.66,7419.26,77.364,697,1587.151
2.68,7432.54,109.285,617,1491.536
2.7,7444.38,136.423,621.167,1309.59
2.72,7457.42,161.754,620.667,1178.988
2.74,7469.22,182.817,612.667,906.944
2.76,7482.3,197.476,681.083,545.386
2.78,7496.38,204.534,725.583,172.73
2.8,7511.24,204.596,759.917,-165.979
2.82,7526.6,198.318,762.083,-437.633
2.84,7541.68,187.584,755.167,-628.343
2.86,7557,173.469,787.917,-776.991
2.88,7573.2,156.613,819.167,-914.279
2.9,7589.66,137.031,825.5,-1030.73
2.92,7606.36,115.501,870.667,-1130.174
2.94,7624.16,91.946,846.417,-1215.338
2.96,7640.24,67.176,819.417,-1261.49
2.98,7657.56,42.109,917,-1220.596
3,7676.9,19.567,1001.083,-990.809
3.02,7697.36,4.019,1044.25,-513.255
3.04,7718.38,0.249,1048.667,167.342
3.06,7738.78,10.749,961.333,860.142
3.08,7756.58,33.245,833.25,1311.407
3.1,7772.24,61.552,736,1495.496
3.12,7786.08,91.93,640.5,1513.477
3.14,7798.14,121.312,592.25,1414.292
3.16,7810.06,148.092,592.25,1262.659
3.18,7821.94,171.413,605.667,1053.968
3.2,7834.34,189.703,620.167,756.609
3.22,7847.02,201.246,688.583,384.666
3.24,7861.86,205.172,755.5,32.261
3.26,7876.84,202.851,739.417,-268.539
3.28,7891.58,194.797,762.667,-515.138
3.3,7907.32,182.692,777.417,-687.608
3.32,7922.66,167.534,786.75,-825.35
3.34,7938.9,149.774,821.25,-953.031
3.36,7955.4,129.537,830.5,-1060.265
3.38,7972.14,107.447,845.25,-1158.216
3.4,7989.26,83.378,868.167,-1233.643
3.42,8006.92,58.467,900.333,-1260.581
3.44,8025.28,33.775,928.083,-1167.693
3.46,8044.22,13.164,992.167,-852.288
3.48,8064.92,1.2,1055.667,-290.349
3.5,8085.92,2.415,1026.583,419.913
3.52,8105.52,17.464,923.75,1042.089
3.54,8122.64,42.499,780.25,1401.569
3.56,8136.98,71.771,687.583,1460.898
3.58,8150.34,100.499,623.75,1494.133
3.6,8162.1,130.846,581.917,1423.509
3.62,8173.9,156.504,589.833,1186.323
3.64,8185.8,178.174,610.833,961.339
3.66,8198.38,194.407,635,636.912
3.68,8211.34,203.35,684.917,261.528
3.7,8225.82,205.048,744.583,-80.166
3.72,8240.94,200.53,770.667,-359.61
3.74,8256.48,191.089,766.167,-572.39
3.76,8271.66,177.987,778,-729.086
3.78,8287.7,162.081,811,-866.374
3.8,8303.98,143.449,817.083,-987.434
3.82,8320.4,122.714,828.25,-1087.073
3.84,8337.16,100.031,848.25,-1182.623
3.86,8354.36,75.635,873.917,-1246.496
